temp,datetime
21625,2020-12-05 17:58:12.911599
21687,2020-12-05 17:58:18.831994
21687,2020-12-05 17:58:24.751771
21687,2020-12-05 17:58:30.671880
21687,2020-12-05 17:58:36.591919
21687,2020-12-05 17:58:42.511720
21625,2020-12-05 17:58:48.431900
21687,2020-12-05 17:58:54.351733
21687,2020-12-05 17:59:00.271853
21687,2020-12-05 17:59:06.191771
21687,2020-12-05 17:59:12.151721
21687,2020-12-05 17:59:18.031682
21687,2020-12-05 17:59:23.951693
21687,2020-12-05 17:59:29.871749
21687,2020-12-05 17:59:35.792000
21625,2020-12-05 17:59:41.711919
21625,2020-12-05 17:59:47.631931
21687,2020-12-05 17:59:53.552274
21625,2020-12-05 17:59:59.471778
21687,2020-12-05 18:00:05.431639
21625,2020-12-05 18:00:11.311771
21625,2020-12-05 18:00:17.231839
21625,2020-12-05 18:00:23.151735
21625,2020-12-05 18:00:29.111354
21625,2020-12-05 18:00:34.991772
21625,2020-12-05 18:00:40.911724
21625,2020-12-05 18:00:46.831881
21625,2020-12-05 18:00:52.751875
21625,2020-12-05 18:00:58.671890
21625,2020-12-05 18:01:04.592102
21625,2020-12-05 18:01:10.511755
21625,2020-12-05 18:01:16.431958
21625,2020-12-05 18:01:22.351709
21625,2020-12-05 18:01:28.271964
21625,2020-12-05 18:01:34.191808
21625,2020-12-05 18:01:40.111922
21625,2020-12-05 18:01:46.032005
21562,2020-12-05 18:01:51.951807
21625,2020-12-05 18:01:57.911281
21562,2020-12-05 18:02:03.791937
21562,2020-12-05 18:02:09.711750
21625,2020-12-05 18:02:15.631978
21625,2020-12-05 18:02:21.551721
21625,2020-12-05 18:02:27.471764
21687,2020-12-05 18:02:33.391830
21625,2020-12-05 18:02:39.311745
21687,2020-12-05 18:02:45.231875
21687,2020-12-05 18:02:51.151746
21625,2020-12-05 18:02:57.071963
21625,2020-12-05 18:03:02.991789
21625,2020-12-05 18:03:08.911858
21625,2020-12-05 18:03:14.831720
21625,2020-12-05 18:03:20.751916
21687,2020-12-05 18:03:26.671705
21625,2020-12-05 18:03:32.591703
21625,2020-12-05 18:03:38.511884
21625,2020-12-05 18:03:44.431814
21625,2020-12-05 18:03:50.351945
21687,2020-12-05 18:03:56.271766
21625,2020-12-05 18:04:02.191633
21687,2020-12-05 18:04:08.111975
21625,2020-12-05 18:04:14.031751
21687,2020-12-05 18:04:19.951768
21625,2020-12-05 18:04:25.871898
21625,2020-12-05 18:04:31.831758
21687,2020-12-05 18:04:37.751769
21687,2020-12-05 18:04:43.631777
21687,2020-12-05 18:04:49.551880
21687,2020-12-05 18:04:55.471786
21750,2020-12-05 18:05:01.390722
21812,2020-12-05 18:05:07.311722
21812,2020-12-05 18:05:13.232127
21875,2020-12-05 18:05:19.151771
