temp,hum,datetime
77.36000137329101,41.599998474121094,2020-11-29 15:46:40.321393
77.0,42.5,2020-11-29 15:47:03.400438
77.0,42.29999923706055,2020-11-29 15:47:49.290664
77.0,42.20000076293945,2020-11-29 15:48:14.899083
77.0,42.5,2020-11-29 15:48:45.577801
77.0,42.5,2020-11-29 15:49:08.661074
77.0,42.70000076293945,2020-11-29 15:49:52.018007
77.18000068664551,42.099998474121094,2020-11-29 15:50:20.151402
77.18000068664551,42.099998474121094,2020-11-29 15:50:40.699094
77.18000068664551,41.79999923706055,2020-11-29 15:51:03.763029
77.18000068664551,43.29999923706055,2020-11-29 15:51:26.858714
77.18000068664551,42.900001525878906,2020-11-29 15:51:47.397970
77.18000068664551,42.20000076293945,2020-11-29 15:52:23.139463
