temp,temp,datetime
24062,25062,2023-09-09 14:50:42.995609
25187,25062,2023-09-09 14:50:49.795595
25250,25062,2023-09-09 14:50:56.595664
25250,25062,2023-09-09 14:51:03.395575
25250,25062,2023-09-09 14:51:10.195650
25250,25062,2023-09-09 14:51:16.995826
25875,25062,2023-09-09 14:51:23.795562
27375,25062,2023-09-09 14:51:30.595641
28000,25125,2023-09-09 14:51:37.395901
28250,25062,2023-09-09 14:51:44.195649
27625,25062,2023-09-09 14:51:50.995625
27625,25062,2023-09-09 14:51:57.797178
26437,25062,2023-09-09 14:52:04.595571
26125,25187,2023-09-09 14:52:11.395540
26000,25937,2023-09-09 14:52:18.195448
25875,26625,2023-09-09 14:52:24.995608
25812,27062,2023-09-09 14:52:31.795878
25687,27125,2023-09-09 14:52:38.595790
25625,27125,2023-09-09 14:52:45.395553
25562,27125,2023-09-09 14:52:52.195618
25562,27000,2023-09-09 14:52:58.995749
25500,26937,2023-09-09 14:53:05.795734
25500,26812,2023-09-09 14:53:12.595573
25500,26750,2023-09-09 14:53:19.395720
25500,26687,2023-09-09 14:53:26.195625
25500,26625,2023-09-09 14:53:32.996248
25500,26500,2023-09-09 14:53:39.795490
25562,26437,2023-09-09 14:53:46.645351
25500,26375,2023-09-09 14:53:53.395629
25500,26250,2023-09-09 14:54:00.195757
25437,26250,2023-09-09 14:54:06.995591
25437,26187,2023-09-09 14:54:13.795517
25437,26062,2023-09-09 14:54:20.595549
25437,26062,2023-09-09 14:54:27.397920
25375,26000,2023-09-09 14:54:34.195651
25375,25937,2023-09-09 14:54:40.995585
25375,25875,2023-09-09 14:54:47.795600
25375,25875,2023-09-09 14:54:54.595678
25375,25812,2023-09-09 14:55:01.395770
25375,25750,2023-09-09 14:55:08.195560
25375,25687,2023-09-09 14:55:14.995566
25375,25687,2023-09-09 14:55:21.795611
25375,25625,2023-09-09 14:55:28.595575
25312,25625,2023-09-09 14:55:35.396271
25375,25625,2023-09-09 14:55:42.195731
25375,25562,2023-09-09 14:55:48.995571
25312,25562,2023-09-09 14:55:55.795672
25312,25500,2023-09-09 14:56:02.595665
25375,25437,2023-09-09 14:56:09.395628
25312,25437,2023-09-09 14:56:16.195636
25375,25437,2023-09-09 14:56:22.995597
25312,25375,2023-09-09 14:56:29.877557
25312,25375,2023-09-09 14:56:36.675449
25312,25312,2023-09-09 14:56:43.475451
25312,25312,2023-09-09 14:56:50.275589
25312,25312,2023-09-09 14:56:57.075639
25312,25312,2023-09-09 14:57:03.875639
25312,25250,2023-09-09 14:57:10.675829
25312,25250,2023-09-09 14:57:17.475777
25312,25187,2023-09-09 14:57:24.275921
25312,25187,2023-09-09 14:57:31.075491
25312,25250,2023-09-09 14:57:37.875519
25312,25125,2023-09-09 14:57:44.675709
25312,25125,2023-09-09 14:57:51.475655
25312,25125,2023-09-09 14:57:58.275780
25312,25125,2023-09-09 14:58:05.075667
25312,25062,2023-09-09 14:58:11.875767
25312,25062,2023-09-09 14:58:18.675754
25312,25062,2023-09-09 14:58:25.515891
25312,25000,2023-09-09 14:58:32.275641
25312,25062,2023-09-09 14:58:39.075602
25375,25000,2023-09-09 14:58:45.875506
25375,25000,2023-09-09 14:58:52.675501
25375,25000,2023-09-09 14:58:59.475506
25375,24937,2023-09-09 14:59:06.275509
